Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"TCL","Crops and livestock products","484","Mexico","5910","Export Quantity","02910","Natural honey","2018","2018","t","55674.58","A","Official figure",""
"TCL","Crops and livestock products","484","Mexico","5910","Export Quantity","02910","Natural honey","2019","2019","t","25122.46","A","Official figure",""
"TCL","Crops and livestock products","484","Mexico","5910","Export Quantity","02910","Natural honey","2020","2020","t","22617.56","A","Official figure",""
"TCL","Crops and livestock products","484","Mexico","5910","Export Quantity","02910","Natural honey","2021","2021","t","25076.08","A","Official figure",""
"TCL","Crops and livestock products","484","Mexico","5910","Export Quantity","02910","Natural honey","2022","2022","t","27443.01","A","Official figure",""
"TCL","Crops and livestock products","764","Thailand","5910","Export Quantity","02910","Natural honey","1961","1961","t","0","A","Official figure",""
"TCL","Crops and livestock products","764","Thailand","5910","Export Quantity","02910","Natural honey","1962","1962","t","0","A","Official figure",""
"TCL","Crops and livestock products","764","Thailand","5910","Export Quantity","02910","Natural honey","1963","1963","t","0","A","Official figure",""
"TCL","Crops and livestock products","764","Thailand","5910","Export Quantity","02910","Natural honey","1964","1964","t","0","A","Official figure",""
"TCL","Crops and livestock products","764","Thailand","5910","Export Quantity","02910","Natural honey","1965","1965","t","0","A","Official figure",""
"TCL","Crops and livestock products","764","Thailand","5910","Export Quantity","02910","Natural honey","1966","1966","t","0","A","Official figure",""
"TCL","Crops and livestock products","764","Thailand","5910","Export Quantity","02910","Natural honey","1967","1967","t","0","A","Official figure",""
"TCL","Crops and livestock products","764","Thailand","5910","Export Quantity","02910","Natural honey","1968","1968","t","0","A","Official figure",""
"TCL","Crops and livestock products","764","Thailand","5910","Export Quantity","02910","Natural honey","1969","1969","t","0","A","Official figure",""
"TCL","Crops and livestock products","764","Thailand","5910","Export Quantity","02910","Natural honey","1970","1970","t","0","A","Official figure",""
"TCL","Crops and livestock products","764","Thailand","5910","Export Quantity","02910","Natural honey","1971","1971","t","0","A","Official figure",""
"TCL","Crops and livestock products","764","Thailand","5910","Export Quantity","02910","Natural honey","1972","1972","t","0","A","Official figure",""
"TCL","Crops and livestock products","764","Thailand","5910","Export Quantity","02910","Natural honey","1973","1973","t","0","A","Official figure",""
"TCL","Crops and livestock products","764","Thailand","5910","Export Quantity","02910","Natural honey","1974","1974","t","0","A","Official figure",""
"TCL","Crops and livestock products","764","Thailand","5910","Export Quantity","02910","Natural honey","1975","1975","t","0","A","Official figure",""
"TCL","Crops and livestock products","764","Thailand","5910","Export Quantity","02910","Natural honey","1976","1976","t","0","A","Official figure",""
"TCL","Crops and livestock products","764","Thailand","5910","Export Quantity","02910","Natural honey","1977","1977","t","0","A","Official figure",""
"TCL","Crops and livestock products","764","Thailand","5910","Export Quantity","02910","Natural honey","1978","1978","t","0","A","Official figure",""
"TCL","Crops and livestock products","764","Thailand","5910","Export Quantity","02910","Natural honey","1979","1979","t","0","A","Official figure",""
"TCL","Crops and livestock products","764","Thailand","5910","Export Quantity","02910","Natural honey","1980","1980","t","0","A","Official figure",""
"TCL","Crops and livestock products","764","Thailand","5910","Export Quantity","02910","Natural honey","1981","1981","t","0","A","Official figure",""
"TCL","Crops and livestock products","764","Thailand","5910","Export Quantity","02910","Natural honey","1982","1982","t","12","A","Official figure",""
"TCL","Crops and livestock products","764","Thailand","5910","Export Quantity","02910","Natural honey","1983","1983","t","70","A","Official figure",""
"TCL","Crops and livestock products","764","Thailand","5910","Export Quantity","02910","Natural honey","1984","1984","t","160","A","Official figure",""
"TCL","Crops and livestock products","764","Thailand","5910","Export Quantity","02910","Natural honey","1985","1985","t","289","A","Official figure",""
"TCL","Crops and livestock products","764","Thailand","5910","Export Quantity","02910","Natural honey","1986","1986","t","1222","A","Official figure",""
"TCL","Crops and livestock products","764","Thailand","5910","Export Quantity","02910","Natural honey","1987","1987","t","889","A","Official figure",""
